epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,15028.6,1.18693,0.62559,1.14908,0.94933,0.93318,0.96387,0.61633,1.0078,4.02965,0.79373,0.006106,0.006106,0.006106
61,17198.6,1.18527,0.6244,1.15056,0.94986,0.9337,0.96393,0.61649,1.008,4.0269,0.79381,0.00604,0.00604,0.00604
62,19429.2,1.18131,0.6228,1.14653,0.94995,0.93247,0.96347,0.61594,1.00861,4.08985,0.79396,0.005974,0.005974,0.005974
63,21723.1,1.18398,0.62231,1.1469,0.94968,0.93288,0.96362,0.61625,1.00831,4.03971,0.79382,0.005908,0.005908,0.005908
64,23990.3,1.18266,0.62079,1.14593,0.95187,0.93234,0.96418,0.617,1.00756,4.00309,0.79357,0.005842,0.005842,0.005842
65,26238.5,1.17821,0.61726,1.14426,0.95026,0.93318,0.96422,0.61742,1.00691,3.97998,0.79334,0.005776,0.005776,0.005776
66,28494.9,1.17746,0.61749,1.14392,0.95028,0.93356,0.96443,0.61775,1.0067,3.93786,0.79336,0.00571,0.00571,0.00571
67,30716.6,1.17377,0.61768,1.1419,0.95086,0.9335,0.96473,0.61745,1.00626,3.94656,0.79341,0.005644,0.005644,0.005644
68,32905.2,1.1778,0.61463,1.14172,0.95259,0.93287,0.96515,0.61828,1.00611,3.93449,0.79318,0.005578,0.005578,0.005578
69,35100.5,1.17418,0.61276,1.13881,0.95206,0.9335,0.9654,0.61895,1.00565,3.89231,0.79312,0.005512,0.005512,0.005512
70,37351.6,1.17353,0.61264,1.14137,0.95133,0.9345,0.96562,0.61891,1.00508,3.92373,0.79279,0.005446,0.005446,0.005446
71,39630.4,1.17237,0.61151,1.13928,0.95196,0.9343,0.96592,0.61883,1.00477,3.94893,0.7926,0.00538,0.00538,0.00538
72,2245.7,1.15851,0.59545,1.13164,0.95104,0.93617,0.96597,0.61881,1.00513,3.8837,0.79263,0.005314,0.005314,0.005314
73,4463.21,1.16457,0.60294,1.13345,0.95041,0.93722,0.96594,0.61854,1.00466,3.91555,0.79238,0.005248,0.005248,0.005248
74,6706.69,1.16867,0.60452,1.13797,0.95017,0.93803,0.96589,0.61848,1.0042,3.88158,0.79244,0.005182,0.005182,0.005182
75,8907.58,1.16442,0.60186,1.13688,0.95152,0.93822,0.96618,0.61825,1.00386,3.89185,0.79237,0.005116,0.005116,0.005116
76,11158.8,1.16404,0.60299,1.13447,0.95164,0.93784,0.96599,0.61816,1.00401,3.89465,0.79244,0.00505,0.00505,0.00505
77,13368.6,1.16076,0.59937,1.13393,0.95097,0.93835,0.96599,0.6185,1.00314,3.88552,0.79226,0.004984,0.004984,0.004984
78,15603.8,1.16215,0.60042,1.13363,0.95013,0.93893,0.96597,0.61887,1.00289,3.82605,0.79233,0.004918,0.004918,0.004918
79,17835.2,1.15957,0.59978,1.1346,0.94989,0.93975,0.96584,0.61949,1.00232,3.80728,0.79201,0.004852,0.004852,0.004852
80,20117.2,1.15762,0.59803,1.13235,0.95124,0.93921,0.96607,0.62014,1.00215,3.78656,0.79177,0.004786,0.004786,0.004786
